Year,Month,Sum_Produce,Avg_Produce
2012,03,25151525.84,10270.1208003267
2012,04,24406048.3899999,10297.9107130801
2012,05,28249539.01,11492.896261188
2012,06,28691364.32,11865.7420678246
2012,07,28535707.45,11364.2801473516
2012,08,25793520.64,10272.2105296694
2012,09,21915641.66,9018.78257613167
2012,10,21203562.52,8444.27021903623
2012,11,21736158.96,8944.92138271605
2012,12,21962976.75,9038.26203703704
2013,01,20322683.64,7994.76146341464
2013,02,19829620.75,8636.59440331011
2013,03,22717069.8500001,8936.69152242331
2013,04,21625385.04,8790.80692682928
2013,05,23000152.4,8987.94544744039
2013,06,24755406.2,9941.9302008032
2013,07,26803105.5600001,10417.0639564711
2013,08,22600217.01,8783.6055227361
2013,09,21401265.74,8574.22505608972
2013,10,19296578.09,7410.36024961597
2013,11,20489773.49,8134.09030964669
2013,12,21715706.6699999,8525.99398115426
2014,01,22544458.38,8555.7716812144
2014,02,21262413.12,8650.29012205045
2014,03,23247168.62,8927.48410906298
2014,04,22541987.92,8945.23330158732
2014,05,25943046.7499999,9962.76756912439
2014,06,24782178.43,9830.29687822292
2014,07,24263117.59,9335.55890342441
2014,08,21879988.86,8428.34701848999
2014,09,18407263.58,7392.47533333334
2014,10,19497571.95,7577.75823940925
2014,11,19444753.17,7809.1378192771
2014,12,19240384.75,7727.06214859436
2015,01,20088529.29,7623.73028083492
2015,02,19772333.34,8311.19518284996
2015,03,24608406.71,9339.05377988616
2015,04,21559729.45,8454.7958627451
2015,05,25792074.5900001,9795.69866691988
2015,06,27212464.15,10675.741133778
2015,07,26338477.15,9995.62700189754
2015,08,23130626.5999999,8781.55907365222
2015,09,20774415.93,8150.02586504511
2015,10,20359980.58,7729.6813135915
2015,11,21936906.81,8602.70855294118
2015,12,20462899.3,8024.66639215685
