Year,Month,Forecast_sales_existing_stores,"Forecast_Sales_new_Stores ",Total_Forecast_sales,Date
2016,1,21829060.031666,2588356.558187,24417416.589853,2016-1
2016,10,20086270.4620746,2485732.284852,22572002.7469266,2016-10
2016,11,20858119.95754,2583447.593735,23441567.551275,2016-11
2016,12,21255190.2449756,2562181.69998,23817371.9449556,2016-12
2016,2,21146329.6319817,2498567.174382,23644896.8063637,2016-2
2016,3,23735686.9387899,2919067.024801,26654753.9635909,2016-3
2016,4,22409515.2844737,2797280.082984,25206795.3674577,2016-4
2016,5,25621828.7250966,3163764.859191,28785593.5842876,2016-5
2016,6,26307858.0400465,3202813.288678,29510671.3287245,2016-6
2016,7,26705092.5563487,3228212.242266,29933304.7986147,2016-7
2016,8,23440761.3295266,2868914.812082,26309676.1416086,2016-8
2016,9,20640047.3199708,2538372.266534,23178419.5865048,2016-9
